"Instituto Nacional de Estadística y Geografía",
"",
"Principales índices (mensual)",
"Fecha de consulta: 24/06/2026 08:16:12",

"Título","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, Precios al Consumidor (INPC)","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Principales índices, INPP mercancías excluyendo petróleo","Índice Nacional de Precios al Consumidor. Base segunda quincena Julio 2018. Actualización de Canasta y Ponderadores 2024 (mensual), Resumen, Subíndices subyacente y complementarios, Precios al Consumidor (INPC)"
"Cifra","","",""
"Fecha","865541","1380001","865546"
"Ene 2010","72.552045976151","65.972887528506","72.552045976151"
"Feb 2010","72.971670511062","66.586584416450","72.971670511062"
"Mar 2010","73.489725492434","66.976990052088","73.489725492434"
"Abr 2010","73.255564640854","66.645121658069","73.255564640854"
"May 2010","72.793977652452","66.579031223983","72.793977652452"
"Jun 2010","72.771183233271","66.521910205951","72.771183233271"
"Jul 2010","72.929190002590","66.687136291167","72.929190002590"
"Ago 2010","73.131749500306","66.892016636834","73.131749500306"
"Sep 2010","73.515110186521","67.160154969413","73.515110186521"
"Oct 2010","73.968926350203","67.335294619741","73.968926350203"
"Nov 2010","74.561581248892","67.742694938430","74.561581248892"
"Dic 2010","74.930954450610","68.228459628964","74.930954450610"
"Ene 2011","75.295991345634","68.633499575007","75.295991345634"
"Feb 2011","75.578460244005","69.301957108337","75.578460244005"
"Mar 2011","75.723450928541","69.730600780840","75.723450928541"
"Abr 2011","75.717440951980","69.648931887290","75.717440951980"
"May 2011","75.159264378869","69.219344065729","75.159264378869"
"Jun 2011","75.155508143518","69.554044906923","75.155508143518"
"Jul 2011","75.516106737184","70.059636727683","75.516106737184"
"Ago 2011","75.635555021335","70.553426685214","75.635555021335"
"Sep 2011","75.821113047659","71.197336343026","75.821113047659"
"Oct 2011","76.332712302422","71.751079765763","76.332712302422"
"Nov 2011","77.158332832502","72.599397694713","77.158332832502"
"Dic 2011","77.792385359697","73.131897763637","77.792385359697"
"Ene 2012","78.343049462107","73.648819373097","78.343049462107"
"Feb 2012","78.502313840976","73.446299400076","78.502313840976"
"Mar 2012","78.547388665184","73.312702308315","78.547388665184"
"Abr 2012","78.300979626179","73.357549388588","78.300979626179"
"May 2012","78.053819340105","73.578008193719","78.053819340105"
"Jun 2012","78.413666686700","74.140248957981","78.413666686700"
"Jul 2012","78.853897469800","73.598502025763","78.853897469800"
"Ago 2012","79.090540296893","73.473362166621","79.090540296893"
"Sep 2012","79.439118937436","73.735819385419","79.439118937436"
"Oct 2012","79.841036119959","73.710907515314","79.841036119959"
"Nov 2012","80.383436504598","74.085287516033","80.383436504598"
"Dic 2012","80.568243283851","73.821085905403","80.568243283851"
"Ene 2013","80.892782018150","73.689509660476","80.892782018150"
"Feb 2013","81.290942965322","73.753360783349","81.290942965322"
"Mar 2013","81.887433139011","73.803641548350","81.887433139011"
"Abr 2013","81.941522928061","73.350020125092","81.941522928061"
"May 2013","81.668820241601","73.079267917486","81.668820241601"
"Jun 2013","81.619237934972","73.473535866791","81.619237934972"
"Jul 2013","81.592193040447","73.076692360764","81.592193040447"
"Ago 2013","81.824328385119","73.170161616813","81.824328385119"
"Sep 2013","82.132339683875","73.610948149672","82.132339683875"
"Oct 2013","82.522988160346","73.581788673621","82.522988160346"
"Nov 2013","83.292265160166","73.862671931193","83.292265160166"
"Dic 2013","83.770058296773","73.920736506910","83.770058296773"
"Ene 2014","84.519051625699","74.451570767279","84.519051625699"
"Feb 2014","84.733157040688","74.853310928826","84.733157040688"
"Mar 2014","84.965292385360","74.895040627001","84.965292385360"
"Abr 2014","84.806779253561","74.748016788538","84.806779253561"
"May 2014","84.535579061242","74.804260175596","84.535579061242"
"Jun 2014","84.682072239918","74.573248018026","84.682072239918"
"Jul 2014","84.914958831661","74.846861438512","84.914958831661"
"Ago 2014","85.219965142136","75.261678047685","85.219965142136"
"Sep 2014","85.596339924274","75.404530467384","85.596339924274"
"Oct 2014","86.069625578460","75.678973795746","86.069625578460"
"Nov 2014","86.763777871266","75.971420311643","86.763777871266"
"Dic 2014","87.188983712964","77.057130728827","87.188983712964"
"Ene 2015","87.110102770599","77.588134487353","87.110102770599"
"Feb 2015","87.275377126029","77.844382282702","87.275377126029"
"Mar 2015","87.630716990204","78.449652420660","87.630716990204"
"Abr 2015","87.403840375023","78.552854419893","87.403840375023"
"May 2015","86.967365827273","78.369518410943","86.967365827273"
"Jun 2015","87.113107758880","78.768231373992","87.113107758880"
"Jul 2015","87.240819760803","79.330110210754","87.240819760803"
"Ago 2015","87.424875292986","79.887035069166","87.424875292986"
