"Nation ID","Nation","Quarter ID","Quarter","Sex ID","Sex","Monthly Wage","Workforce","Time"
"mex","México",20101,"2010-Q1",1,"Hombre",4048.1240010539973,28421331,1265004000000
"mex","México",20101,"2010-Q1",2,"Mujer",3037.0572225072924,17103008,1265004000000
"mex","México",20102,"2010-Q2",1,"Hombre",3979.1079222334147,29057210,1272690000000
"mex","México",20102,"2010-Q2",2,"Mujer",3052.803052596136,17540414,1272690000000
"mex","México",20103,"2010-Q3",1,"Hombre",3901.1772207868285,28982757,1280638800000
"mex","México",20103,"2010-Q3",2,"Mujer",3054.2642265972695,17469831,1280638800000
"mex","México",20104,"2010-Q4",1,"Hombre",3870.2849538951655,28768675,1288591200000
"mex","México",20104,"2010-Q4",2,"Mujer",3036.8222406253094,17143259,1288591200000
"mex","México",20111,"2011-Q1",1,"Hombre",3993.44599659016,28934497,1296540000000
"mex","México",20111,"2011-Q1",2,"Mujer",3116.3431095947017,17071318,1296540000000
"mex","México",20112,"2011-Q2",1,"Hombre",3931.5366747580374,29316417,1304226000000
"mex","México",20112,"2011-Q2",2,"Mujer",3041.1193240872963,17575169,1304226000000
"mex","México",20113,"2011-Q3",1,"Hombre",3890.423404712851,29608447,1312174800000
"mex","México",20113,"2011-Q3",2,"Mujer",3033.274498746888,17742234,1312174800000
"mex","México",20114,"2011-Q4",1,"Hombre",3814.950625004527,29683385,1320127200000
"mex","México",20114,"2011-Q4",2,"Mujer",2940.271307654251,18624082,1320127200000
"mex","México",20121,"2012-Q1",1,"Hombre",4037.3016413223845,29678752,1328076000000
"mex","México",20121,"2012-Q1",2,"Mujer",3158.4322274764395,18047513,1328076000000
"mex","México",20122,"2012-Q2",1,"Hombre",4017.580127049137,30224369,1335848400000
"mex","México",20122,"2012-Q2",2,"Mujer",3106.5721722512435,18779011,1335848400000
"mex","México",20123,"2012-Q3",1,"Hombre",3961.883077453431,30458625,1343797200000
"mex","México",20123,"2012-Q3",2,"Mujer",3063.4732387898957,18816395,1343797200000
"mex","México",20124,"2012-Q4",1,"Hombre",3979.8586223776756,30131190,1351749600000
"mex","México",20124,"2012-Q4",2,"Mujer",3113.931755472035,18691081,1351749600000
"mex","México",20131,"2013-Q1",1,"Hombre",4149.678967670091,30071937,1359698400000
"mex","México",20131,"2013-Q1",2,"Mujer",3204.9933726953673,18286318,1359698400000
"mex","México",20132,"2013-Q2",1,"Hombre",4001.5618710025033,30333984,1367384400000
"mex","México",20132,"2013-Q2",2,"Mujer",3138.0711154718233,18962245,1367384400000
"mex","México",20133,"2013-Q3",1,"Hombre",3925.7746734140596,30415501,1375333200000
"mex","México",20133,"2013-Q3",2,"Mujer",3159.8502286427633,18893666,1375333200000
"mex","México",20134,"2013-Q4",1,"Hombre",3974.5337470965414,30771062,1383285600000
"mex","México",20134,"2013-Q4",2,"Mujer",3039.11059964577,19174537,1383285600000
"mex","México",20141,"2014-Q1",1,"Hombre",4051.6294531046115,30474329,1391234400000
"mex","México",20141,"2014-Q1",2,"Mujer",3150.1969985088103,18606618,1391234400000
"mex","México",20142,"2014-Q2",1,"Hombre",3939.5827305752537,30590631,1398920400000
"mex","México",20142,"2014-Q2",2,"Mujer",3079.7913871820133,18710926,1398920400000
"mex","México",20143,"2014-Q3",1,"Hombre",3924.254438370827,30849270,1406869200000
"mex","México",20143,"2014-Q3",2,"Mujer",3061.933296997529,18606074,1406869200000
"mex","México",20144,"2014-Q4",1,"Hombre",3910.362835850273,31032132,1414821600000
"mex","México",20144,"2014-Q4",2,"Mujer",3030.0808111425563,18791666,1414821600000
"mex","México",20151,"2015-Q1",1,"Hombre",4051.2955421499128,31009993,1422770400000
"mex","México",20151,"2015-Q1",2,"Mujer",3133.207610303238,18796071,1422770400000
"mex","México",20152,"2015-Q2",1,"Hombre",4048.4274682111304,31309072,1430456400000
"mex","México",20152,"2015-Q2",2,"Mujer",3150.2060130710984,19027016,1430456400000
"mex","México",20153,"2015-Q3",1,"Hombre",4097.048618090664,31457961,1438405200000
"mex","México",20153,"2015-Q3",2,"Mujer",3206.907902573548,19276695,1438405200000
"mex","México",20154,"2015-Q4",1,"Hombre",4087.8372918179157,31757776,1446357600000
"mex","México",20154,"2015-Q4",2,"Mujer",3135.2067477731653,19810743,1446357600000
"mex","México",20161,"2016-Q1",1,"Hombre",4221.644393499478,31481902,1454306400000
"mex","México",20161,"2016-Q1",2,"Mujer",3232.2437128327515,19296727,1454306400000
"mex","México",20162,"2016-Q2",1,"Hombre",4211.724976590698,31780102,1462078800000
"mex","México",20162,"2016-Q2",2,"Mujer",3257.8823865768763,19653488,1462078800000
"mex","México",20163,"2016-Q3",1,"Hombre",4226.768664905509,32118633,1470027600000
"mex","México",20163,"2016-Q3",2,"Mujer",3235.5633994625805,19924467,1470027600000
"mex","México",20164,"2016-Q4",1,"Hombre",4236.514653761496,32216131,1477980000000
"mex","México",20164,"2016-Q4",2,"Mujer",3270.190454844176,19907543,1477980000000
"mex","México",20171,"2017-Q1",1,"Hombre",4310.782844624505,32132937,1485928800000
"mex","México",20171,"2017-Q1",2,"Mujer",3409.1426826173606,19726958,1485928800000
"mex","México",20172,"2017-Q2",1,"Hombre",4309.007131865101,32330533,1493614800000
"mex","México",20172,"2017-Q2",2,"Mujer",3338.173226569777,19868078,1493614800000
"mex","México",20173,"2017-Q3",1,"Hombre",4184.077167484592,32566333,1501563600000
"mex","México",20173,"2017-Q3",2,"Mujer",3291.6717542140163,19872313,1501563600000
"mex","México",20174,"2017-Q4",1,"Hombre",4213.110493094625,32682875,1509516000000
"mex","México",20174,"2017-Q4",2,"Mujer",3213.4881744857175,20182970,1509516000000
"mex","México",20181,"2018-Q1",1,"Hombre",4404.193646558607,32776410,1517464800000
"mex","México",20181,"2018-Q1",2,"Mujer",3406.9570121269585,20100506,1517464800000
"mex","México",20182,"2018-Q2",1,"Hombre",4396.757763947774,33118332,1525150800000
"mex","México",20182,"2018-Q2",2,"Mujer",3415.3822134642674,20666925,1525150800000
"mex","México",20183,"2018-Q3",1,"Hombre",4375.404858003232,33428261,1533099600000
"mex","México",20183,"2018-Q3",2,"Mujer",3419.1205881958876,20599736,1533099600000
"mex","México",20184,"2018-Q4",1,"Hombre",4389.112823551084,33286552,1541052000000
"mex","México",20184,"2018-Q4",2,"Mujer",3434.480293433306,20908056,1541052000000
"mex","México",20191,"2019-Q1",1,"Hombre",4661.583120426232,33269205,1549000800000
"mex","México",20191,"2019-Q1",2,"Mujer",3566.7266389730894,20883061,1549000800000
"mex","México",20192,"2019-Q2",1,"Hombre",4685.556234732166,33449817,1556686800000
"mex","México",20192,"2019-Q2",2,"Mujer",3625.165777225586,21486902,1556686800000
"mex","México",20193,"2019-Q3",1,"Hombre",4686.555380301484,33636879,1564635600000
"mex","México",20193,"2019-Q3",2,"Mujer",3638.2003673071163,21565060,1564635600000
"mex","México",20194,"2019-Q4",1,"Hombre",4856.935276979019,33651195,1572588000000
"mex","México",20194,"2019-Q4",2,"Mujer",3727.3305632582774,22032255,1572588000000
"mex","México",20201,"2020-Q1",1,"Hombre",5217.197336929775,33484209,1580536800000
"mex","México",20201,"2020-Q1",2,"Mujer",4095.2657033911732,21868095,1580536800000
"mex","México",20203,"2020-Q3",1,"Hombre",4788.826448110416,31762685,1596258000000
"mex","México",20203,"2020-Q3",2,"Mujer",4055.5075982105063,19248348,1596258000000
"mex","México",20204,"2020-Q4",1,"Hombre",5018.374808503967,32605114,1604210400000
"mex","México",20204,"2020-Q4",2,"Mujer",4092.0462471983083,20726315,1604210400000
"mex","México",20211,"2021-Q1",1,"Hombre",5301.202677645891,32671161,1612159200000
"mex","México",20211,"2021-Q1",2,"Mujer",4352.381255316874,20302109,1612159200000
"mex","México",20212,"2021-Q2",1,"Hombre",5019.620301166138,38269309,1619845200000
"mex","México",20212,"2021-Q2",2,"Mujer",4010.627696041235,24749436,1619845200000
"mex","México",20213,"2021-Q3",1,"Hombre",5329.921281921647,34000830,1627794000000
"mex","México",20213,"2021-Q3",2,"Mujer",4274.760630902113,21835400,1627794000000
"mex","México",20214,"2021-Q4",1,"Hombre",5323.9246130712645,34289260,1635746400000
"mex","México",20214,"2021-Q4",2,"Mujer",4232.284646624303,22321951,1635746400000
"mex","México",20221,"2022-Q1",1,"Hombre",5663.85791321908,33997934,1643695200000
"mex","México",20221,"2022-Q1",2,"Mujer",4572.460696432606,22081189,1643695200000
"mex","México",20222,"2022-Q2",1,"Hombre",5653.728380891049,34528782,1651381200000
"mex","México",20222,"2022-Q2",2,"Mujer",4484.621808024193,22891895,1651381200000
"mex","México",20223,"2022-Q3",1,"Hombre",5572.370792201984,34632039,1659330000000
"mex","México",20223,"2022-Q3",2,"Mujer",4479.787523299528,22808402,1659330000000
"mex","México",20224,"2022-Q4",1,"Hombre",5774.579361814227,34695540,1667282400000
"mex","México",20224,"2022-Q4",2,"Mujer",4475.507068902591,23653813,1667282400000
"mex","México",20231,"2023-Q1",1,"Hombre",6129.758278934629,34886554,1675231200000
"mex","México",20231,"2023-Q1",2,"Mujer",4749.883055237975,23605572,1675231200000
"mex","México",20232,"2023-Q2",1,"Hombre",6189.144079321166,34716585,1682920800000
"mex","México",20232,"2023-Q2",2,"Mujer",4763.561287153065,23805405,1682920800000
"mex","México",20233,"2023-Q3",1,"Hombre",6240.0315982635175,35149210,1690869600000
"mex","México",20233,"2023-Q3",2,"Mujer",4935.763224499758,24018262,1690869600000
"mex","México",20234,"2023-Q4",1,"Hombre",6280.375730093113,35162467,1698818400000
"mex","México",20234,"2023-Q4",2,"Mujer",4982.981309309497,24241480,1698818400000
"mex","México",20241,"2024-Q1",1,"Hombre",6733.7156192043485,35071556,1706767200000
"mex","México",20241,"2024-Q1",2,"Mujer",5276.205686731894,24049349,1706767200000
"mex","México",20242,"2024-Q2",1,"Hombre",6765.199665955766,35048053,1714543200000
"mex","México",20242,"2024-Q2",2,"Mujer",5265.999420942483,24279108,1714543200000
"mex","México",20243,"2024-Q3",1,"Hombre",6854.28389421928,35255385,1722492000000
"mex","México",20243,"2024-Q3",2,"Mujer",5391.13928512927,24272864,1722492000000
"mex","México",20244,"2024-Q4",1,"Hombre",6607.577274403342,34924786,1730440800000
"mex","México",20244,"2024-Q4",2,"Mujer",5217.921971879382,24562760,1730440800000
"mex","México",20251,"2025-Q1",1,"Hombre",6573.454826898398,34976135,1738389600000
"mex","México",20251,"2025-Q1",2,"Mujer",5158.636867065359,24024874,1738389600000
